date,AA,BB,CC,DD,EE,FF,GG
2008-04-01,155.95,170.23,63.07,205.56,305.56,137.74,122.89
2008-05-01,148.85,174.75,71.56,193.78,292.47,163.33,106.04
2008-06-01,146.79,178.68,72.05,209.87,292.9,135.06,109.43
2008-07-01,142.13,181.95,72.9,211.58,292.07,79.09,118.81
2008-08-01,130.45,183.3,68.65,214.36,281.98,131.03,127.72
2008-09-01,129.29,184.5,77.49,205.29,248.86,131.93,137.68
2008-10-01,122.19,184.81,77.59,213.63,248.29,188.6,122.84
2008-11-01,126.19,184.73,67.87,181.19,269.96,99.97,117.91
2008-12-01,132.09,184.38,79.21,196.82,256.63,126.83,117.29
2009-01-01,136.02,181.11,86.36,191.33,264.22,179.45,97.98
2009-02-01,152.43,177.99,77.34,201.19,280.61,148.25,109.48
2009-03-01,153.64,175.77,75.18,194.29,294.88,151.28,96.23
2009-04-01,158.56,170.74,76.54,198.34,293.08,140.26,86.51
2009-05-01,159.39,165.18,80.71,218.82,285.72,145.85,76.01
2009-06-01,154.23,160.33,69.37,198.3,277.91,157.24,71.32
2009-07-01,148.33,155.97,79.24,204.14,267.3,117.76,79.64
2009-08-01,137.51,150.77,76.86,197.68,255.66,160.15,95.63
2009-09-01,130.89,147.05,88.44,200.76,273.33,104.07,90.42
2009-10-01,131.1,143.16,78.73,250.06,254.48,146.81,99.65
2009-11-01,125.57,139.72,88.34,254.48,261.57,143.27,83.12
2009-12-01,132.76,136.58,74.88,261.65,257.59,123.59,114.33
2010-01-01,141.39,135.91,83.74,266.47,269.71,138.63,105.64
2010-02-01,151.01,133.49,82.81,253.1,275.19,123.84,123.44
2010-03-01,163.99,130.14,77.27,255.9,266.71,112.81,118.99
2010-04-01,159.97,131.28,82.91,238.49,279.28,130.96,135.78
2010-05-01,161.1,131.28,88.5,249.12,272.84,112.4,126.5
2010-06-01,164.5,132.74,81.23,259.4,261.7,148.27,123.04
2010-07-01,149.22,136.26,74.8,258.66,259.84,111.65,121.17
2010-08-01,147.69,137.66,83.59,252.12,269.7,158.4,140.35
2010-09-01,134.34,140.11,79.59,258.86,251.12,111.26,129.33
2010-10-01,136.47,142.79,82.81,254.91,258.82,126.84,135.88
2010-11-01,135.26,146.73,84.54,262.0,254.17,125.58,118.8
2010-12-01,144.3,152.22,76.84,252.89,264.16,174.53,109.28
2011-01-01,158.2,157.96,77.72,246.44,260.39,149.86,95.35
2011-02-01,153.36,163.44,88.64,253.36,281.49,136.51,109.3
2011-03-01,170.16,167.08,84.05,220.69,290.15,154.47,116.47
2011-04-01,171.69,169.51,74.27,253.83,282.09,89.52,107.65
2011-05-01,166.02,173.85,91.46,213.52,288.2,141.32,95.38
2011-06-01,156.77,177.08,89.33,232.77,280.63,192.54,74.78
2011-07-01,157.36,180.53,84.84,254.52,261.4,146.11,96.31
2011-08-01,147.35,183.45,82.27,254.78,246.52,144.7,110.95
2011-09-01,146.17,184.94,93.48,238.38,238.41,156.9,94.53
2011-10-01,143.61,186.15,91.5,242.88,245.59,165.79,100.9
2011-11-01,154.02,185.93,102.11,263.71,249.9,93.66,98.66
2011-12-01,150.8,185.1,92.75,245.16,247.96,101.74,99.76
2012-01-01,154.88,182.19,93.04,272.43,264.21,149.26,103.03
2012-02-01,168.9,179.01,90.73,249.98,278.26,126.33,127.86
2012-03-01,175.09,175.51,96.11,254.08,285.67,177.2,132.97
2012-04-01,183.3,172.05,95.61,266.17,295.52,136.72,130.01
2012-05-01,179.17,166.91,99.21,251.31,290.34,96.44,121.92
2012-06-01,171.78,162.38,90.81,239.98,264.49,113.3,125.06
2012-07-01,170.32,156.91,91.7,248.9,275.67,76.46,137.52
2012-08-01,150.06,151.58,91.96,249.64,247.65,139.55,149.18
2012-09-01,147.81,147.36,98.78,236.35,252.64,140.89,142.25
2012-10-01,144.87,140.63,102.79,247.44,241.84,135.19,129.97
2012-11-01,150.06,135.05,93.48,242.58,240.38,172.97,120.99
2012-12-01,151.12,129.87,94.13,259.24,236.24,176.16,102.37
2013-01-01,169.18,124.53,98.31,250.35,259.03,142.14,122.94
2013-02-01,172.89,121.65,96.0,247.17,257.62,93.23,123.38
2013-03-01,172.64,121.04,102.47,248.94,284.86,162.23,119.14
2013-04-01,177.42,120.3,86.94,252.23,291.63,160.88,113.08
2013-05-01,182.56,120.95,94.56,256.17,270.15,154.93,81.15
2013-06-01,180.19,123.4,95.28,240.0,271.32,171.94,79.3
2013-07-01,178.98,126.93,88.08,239.58,252.8,118.48,103.32
2013-08-01,176.57,129.86,95.37,211.05,243.27,198.02,110.99
2013-09-01,159.08,134.92,96.11,195.88,246.88,124.01,114.53
2013-10-01,150.55,139.29,100.19,185.83,237.39,166.93,104.92
2013-11-01,147.35,143.19,107.26,204.44,254.0,106.22,108.59
2013-12-01,165.34,147.65,100.98,204.63,243.24,125.34,115.59
2014-01-01,167.94,151.38,97.57,184.69,264.79,186.71,126.59
2014-02-01,177.92,155.7,102.95,202.29,267.28,142.48,135.51
2014-03-01,182.93,160.39,109.0,207.36,279.89,170.2,127.71
2014-04-01,187.8,165.94,99.39,203.74,272.32,155.32,143.63
2014-05-01,192.32,171.94,100.24,206.32,272.52,146.98,141.61
2014-06-01,182.79,174.26,108.11,185.96,264.38,183.9,139.87
2014-07-01,174.21,177.65,104.74,203.31,248.31,144.08,138.84
2014-08-01,162.82,178.82,109.62,196.97,250.0,105.68,158.0
2014-09-01,154.64,180.65,106.85,195.17,242.28,130.32,157.6
2014-10-01,159.07,180.97,110.96,208.71,238.85,164.38,150.95
2014-11-01,163.74,178.68,102.81,214.79,248.78,160.69,121.41
2014-12-01,178.84,178.26,108.47,217.94,255.09,111.82,121.43
2015-01-01,178.65,175.44,108.02,213.15,250.2,133.09,132.03
2015-02-01,190.91,171.91,103.54,198.9,265.88,136.86,130.99
2015-03-01,189.49,167.14,102.35,203.53,264.93,142.46,118.24
2015-04-01,188.58,162.21,114.15,207.67,272.49,117.4,116.46
2015-05-01,188.16,157.89,109.52,201.21,264.52,136.29,106.07
2015-06-01,184.37,152.65,106.72,201.31,274.66,133.98,100.94
2015-07-01,191.64,147.77,111.91,208.24,254.31,171.69,110.14
2015-08-01,169.89,142.93,118.6,199.41,239.36,172.83,116.43
2015-09-01,173.2,139.2,102.12,192.71,243.03,149.15,130.89
2015-10-01,162.99,134.11,106.61,195.86,213.14,143.2,109.05
2015-11-01,174.67,128.35,110.05,206.34,216.77,156.7,107.03
2015-12-01,177.92,125.72,122.55,200.03,246.27,132.99,116.34
2016-01-01,183.22,122.39,117.23,203.4,250.08,124.93,136.55
2016-02-01,191.8,121.3,120.24,206.7,261.3,130.29,134.06
2016-03-01,194.72,120.33,111.28,196.25,255.71,138.13,140.49
2016-04-01,202.73,119.74,111.97,207.56,268.51,125.11,131.18
2016-05-01,196.72,120.54,120.4,203.79,281.75,158.45,140.49
2016-06-01,187.87,123.85,119.04,187.65,264.69,172.84,134.73
2016-07-01,180.61,128.13,122.09,214.42,249.16,115.12,149.51
2016-08-01,180.86,131.2,119.01,194.99,233.99,155.63,165.11
2016-09-01,182.91,135.06,121.94,183.45,226.72,149.7,154.29
2016-10-01,174.3,140.42,121.94,189.55,209.87,163.94,148.86
2016-11-01,175.42,144.31,125.65,189.79,231.34,155.28,132.64
2016-12-01,183.43,149.7,126.4,200.52,243.06,119.46,134.92
2017-01-01,196.53,154.88,114.88,197.26,233.4,124.44,137.33
2017-02-01,199.1,160.41,112.36,196.63,250.41,156.94,132.94
2017-03-01,201.94,164.62,129.22,206.2,253.46,182.12,132.08
2017-04-01,212.03,167.77,130.78,203.4,257.38,101.25,128.06
2017-05-01,207.13,169.98,120.36,203.16,262.55,165.44,111.97
2017-06-01,207.68,172.56,116.79,204.1,237.82,186.74,97.74
2017-07-01,193.92,175.11,127.22,206.16,249.11,153.37,120.39
2017-08-01,179.88,177.02,132.01,178.92,239.93,171.16,117.85
2017-09-01,174.17,180.31,136.99,196.36,224.27,140.02,137.63
2017-10-01,187.75,181.87,131.22,178.2,203.45,154.82,129.73
2017-11-01,190.63,180.46,127.43,200.36,217.71,117.48,120.37
2017-12-01,187.1,179.45,125.47,199.95,242.56,99.59,124.56
2018-01-01,194.08,176.83,130.64,210.46,220.18,181.97,136.14
2018-02-01,211.31,173.55,129.74,211.88,249.32,133.98,156.49
2018-03-01,204.46,170.04,126.82,202.03,249.68,147.41,154.26
2018-04-01,208.03,166.37,142.8,195.0,267.94,124.34,154.29
2018-05-01,214.21,161.29,142.15,204.85,253.12,123.95,153.56
2018-06-01,204.03,157.31,139.57,194.72,254.13,155.05,145.83
2018-07-01,198.97,150.96,129.96,199.99,245.12,141.36,155.09
2018-08-01,191.18,145.75,139.51,209.86,244.99,169.25,159.32
2018-09-01,188.7,143.3,139.11,194.42,221.06,171.31,158.53
2018-10-01,192.54,138.78,138.81,208.06,222.71,168.22,141.64
2018-11-01,188.46,135.93,143.53,206.77,210.2,166.37,147.05
2018-12-01,197.22,132.33,141.15,190.45,238.62,200.04,150.08
2019-01-01,191.75,129.91,142.36,209.74,232.72,134.11,151.18
2019-02-01,209.76,127.64,142.54,206.99,244.01,159.63,133.6
2019-03-01,211.77,126.12,141.76,201.02,255.34,189.52,145.53
2019-04-01,212.41,124.88,131.84,192.38,245.4,193.01,137.91
2019-05-01,212.6,125.77,141.88,191.41,256.75,126.06,113.22
2019-06-01,210.33,126.27,139.39,194.62,255.04,153.99,115.43
2019-07-01,209.58,129.15,136.48,205.43,239.34,195.95,108.94
2019-08-01,191.37,133.23,152.01,190.44,213.99,174.9,134.51
2019-09-01,193.16,137.29,152.96,204.38,218.09,167.28,127.49
2019-10-01,189.08,141.29,151.84,187.58,222.04,157.16,131.16
2019-11-01,192.37,146.49,147.05,197.96,203.46,153.2,114.61
2019-12-01,205.01,151.23,153.25,201.1,216.9,170.21,134.46
2020-01-01,210.69,157.37,147.29,224.45,242.21,156.89,151.97
2020-02-01,222.69,160.75,148.99,186.23,247.06,162.34,153.45
2020-03-01,221.22,165.47,143.25,214.72,255.22,165.56,156.1
2020-04-01,221.02,168.21,151.44,201.5,269.18,146.85,144.75
2020-05-01,221.87,171.0,150.51,204.11,255.07,177.3,152.8
2020-06-01,219.21,176.06,144.45,201.18,248.96,237.06,152.89
2020-07-01,211.88,179.96,151.46,204.45,255.09,119.98,155.74
2020-08-01,198.58,181.45,152.08,198.46,221.39,172.7,178.05
2020-09-01,199.46,181.3,162.23,214.54,209.1,145.8,170.03
2020-10-01,198.64,178.79,158.48,195.44,215.92,179.44,154.11
2020-11-01,212.6,177.79,154.84,211.32,218.39,166.36,145.26
2020-12-01,215.38,178.86,156.8,193.56,217.69,184.45,152.12
2021-01-01,209.73,177.08,156.56,199.4,223.34,194.99,152.62
2021-02-01,220.56,173.53,156.11,189.28,259.78,170.61,151.27
2021-03-01,220.67,170.29,152.5,204.55,250.94,194.3,151.99
2021-04-01,227.55,164.45,157.95,214.45,244.84,107.59,127.03
2021-05-01,230.57,159.41,155.77,199.23,255.05,206.16,123.85
2021-06-01,230.03,154.46,154.04,198.03,239.23,175.98,122.95
2021-07-01,213.35,149.16,163.66,188.85,227.78,193.75,126.91
2021-08-01,206.73,144.75,163.86,197.71,224.0,136.5,142.89
2021-09-01,194.27,140.04,153.79,184.07,201.54,146.43,136.68
2021-10-01,202.69,135.97,162.92,190.87,211.72,171.05,140.53
2021-11-01,200.7,131.0,169.33,202.27,226.58,167.17,136.6
2021-12-01,209.35,128.2,170.47,213.19,222.03,174.88,117.44
2022-01-01,215.62,126.83,171.14,228.09,224.99,195.11,160.33
2022-02-01,227.53,123.65,167.03,194.13,233.64,124.07,144.8
2022-03-01,225.2,121.4,163.45,214.35,241.44,192.75,166.95
2022-04-01,229.16,122.28,163.1,202.44,245.07,168.81,174.22
2022-05-01,245.64,122.55,171.08,198.49,241.1,163.71,159.64
2022-06-01,223.56,125.31,172.1,204.33,243.83,132.22,153.89
2022-07-01,217.52,127.07,177.5,200.62,212.33,181.78,166.14
2022-08-01,225.18,131.53,177.42,201.1,222.8,109.05,189.27
2022-09-01,225.53,135.36,172.12,195.92,205.24,185.81,166.93
2022-10-01,203.64,139.9,167.43,186.02,208.32,132.5,176.75
2022-11-01,210.17,146.2,172.92,184.56,198.66,171.34,155.95
2022-12-01,219.71,150.89,176.48,206.53,225.33,167.22,143.47
2023-01-01,234.64,155.16,175.26,197.23,234.37,199.64,151.52
2023-02-01,229.07,159.92,174.27,194.04,241.78,166.13,152.26
2023-03-01,238.76,165.43,179.31,200.09,229.0,153.45,160.92
2023-04-01,246.39,168.6,176.42,207.95,250.13,158.33,147.48
2023-05-01,243.16,173.52,176.69,201.8,243.76,203.02,118.79
2023-06-01,234.12,176.68,182.29,193.44,220.06,184.81,126.3
2023-07-01,228.33,180.83,179.63,212.26,222.41,161.96,131.36
2023-08-01,215.13,180.64,183.77,215.79,215.22,165.89,156.1
2023-09-01,215.82,181.21,184.83,204.95,209.13,132.82,139.89
2023-10-01,214.17,179.98,178.69,209.74,203.12,181.91,155.39
2023-11-01,219.17,178.7,182.9,212.42,206.41,128.4,139.71
2023-12-01,221.22,177.59,193.43,211.3,222.89,191.39,136.93
2024-01-01,234.36,175.2,181.36,206.14,230.61,176.02,154.46
2024-02-01,245.06,171.95,177.53,205.98,207.56,232.67,167.73
2024-03-01,246.77,168.09,179.74,205.2,234.98,145.7,169.54
2024-04-01,250.26,164.01,190.15,189.03,238.58,170.83,174.91
2024-05-01,247.26,158.26,191.11,207.01,222.9,218.56,160.46
2024-06-01,242.0,153.92,191.32,186.44,230.05,203.58,156.1
2024-07-01,231.39,149.37,198.94,192.05,228.99,156.59,178.34
2024-08-01,229.58,144.55,180.47,213.04,200.01,179.8,176.66
2024-09-01,222.52,140.05,196.79,208.4,203.77,174.45,182.32
2024-10-01,231.97,135.61,203.59,214.87,190.77,181.65,169.68
2024-11-01,231.88,133.36,191.13,197.28,195.1,157.33,157.44
2024-12-01,231.93,129.58,195.85,188.48,219.32,172.77,173.02
2025-01-01,234.18,126.27,194.98,197.6,212.86,135.25,163.19
2025-02-01,240.44,123.31,195.27,201.02,230.6,178.78,168.3
2025-03-01,257.95,120.92,199.11,200.79,218.95,186.85,149.63
